"modelnum","iteration","formula","random_slope","predictor","snp","minAIC","avgbeta","avgP","pct_p0.05","avgAIC","pctConverged","pctBestAIC"
1,356,"fev1~snp+age+age_c2+time+time*snp+fev1_baseline","time","snp","snp_lb",-284585.680474957,-0.0069,0.076,78,-232902.53,0,0
1,356,"fev1~snp+age+age_c2+time+time*snp+fev1_baseline","time","snp:time","snp_lb",-284585.680474957,0.00072,0.11,74,-232902.53,0,0
2,638,"fev1~snp+age+age_c2+time+time*snp+fev1_baseline","age","snp","snp_lb",-694291.438653383,0.0012,0.044,86,-673159.14,0,38.5
2,638,"fev1~snp+age+age_c2+time+time*snp+fev1_baseline","age","snp:time","snp_lb",-694291.438653383,1e-05,0.094,78,-673159.14,0,38.5
3,676,"fev1~snp+age+age_c2+time+age*snp+fev1_baseline","age","snp","snp_lb",-699140.322154997,-0.0072,0.078,82,-672548.51,0,61.5
3,676,"fev1~snp+age+age_c2+time+age*snp+fev1_baseline","age","snp:age","snp_lb",-699140.322154997,0.00014,0.072,83,-672548.51,0,61.5
4,26,"fev1~snp+age+age_c2+time+age*snp+fev1_baseline","time","snp","snp_lb",-279804.570789849,-0.22,0.0016,99,-238341.1,0,0
4,26,"fev1~snp+age+age_c2+time+age*snp+fev1_baseline","time","snp:age","snp_lb",-279804.570789849,0.0038,9.1e-31,100,-238341.1,0,0
5,26,"fev1~snp+age+age_c2+time+age*snp+time*snp+fev1_baseline","time","snp","snp_lb",-279807.610698755,-0.19,0.00077,99,-235141.77,0,0
5,26,"fev1~snp+age+age_c2+time+age*snp+time*snp+fev1_baseline","time","snp:age","snp_lb",-279807.610698755,0.0039,1.9e-61,100,-235141.77,0,0
5,26,"fev1~snp+age+age_c2+time+age*snp+time*snp+fev1_baseline","time","snp:time","snp_lb",-279807.610698755,-0.0038,0.087,82,-235141.77,0,0
6,401,"fev1~snp+time+time*snp+age_baseline+age_c2_baseline+fev1_baseline","time","snp","snp_lb",-283563.919663081,-0.0023,0.074,76,-233510.96,0,0
6,401,"fev1~snp+time+time*snp+age_baseline+age_c2_baseline+fev1_baseline","time","snp:time","snp_lb",-283563.919663081,1.1e-05,0.16,65,-233510.96,0,0
