"modelnum","iteration","formula","random_slope","predictor","snp","minAIC","avgbeta","avgP","pct_p0.05","avgAIC","pctConverged","pctBestAIC"
1,356,"fev1~snp+age+age_c2+time+time*snp","time","snp","snp_null",-10931.3868894564,0.00031,0.38,17,-8972.6067,83,0
1,356,"fev1~snp+age+age_c2+time+time*snp","time","snp:time","snp_null",-10931.3868894564,-2.4e-05,0.44,9.7,-8972.6067,83,0
2,901,"fev1~snp+age+age_c2+time+time*snp","age","snp","snp_null",-29490.6759105326,6.2e-06,0.39,19,-28569.762,48,68.3
2,901,"fev1~snp+age+age_c2+time+time*snp","age","snp:time","snp_null",-29490.6759105326,-1.2e-05,0.45,11,-28569.762,48,68.3
3,901,"fev1~snp+age+age_c2+time+age*snp","age","snp","snp_null",-29490.0631908015,-0.00017,0.31,29,-28569.462,48,31.7
3,901,"fev1~snp+age+age_c2+time+age*snp","age","snp:age","snp_null",-29490.0631908015,2.3e-06,0.33,27,-28569.462,48,31.7
4,356,"fev1~snp+age+age_c2+time+age*snp","time","snp","snp_null",-10935.4300751076,0.00099,0.31,31,-8973.1948,83,0
4,356,"fev1~snp+age+age_c2+time+age*snp","time","snp:age","snp_null",-10935.4300751076,-2.4e-05,0.31,32,-8973.1948,83,0
5,356,"fev1~snp+age+age_c2+time+age*snp+time*snp","time","snp","snp_null",-10922.7175732385,0.00099,0.31,31,-8961.6878,86,0
5,356,"fev1~snp+age+age_c2+time+age*snp+time*snp","time","snp:age","snp_null",-10922.7175732385,-2.2e-05,0.31,33,-8961.6878,86,0
5,356,"fev1~snp+age+age_c2+time+age*snp+time*snp","time","snp:time","snp_null",-10922.7175732385,-3.7e-06,0.43,9,-8961.6878,86,0
6,356,"fev1~snp+time+time*snp+age_baseline+age_c2_baseline","time","snp","snp_null",-10947.8038533668,3e-04,0.38,17,-8976.2638,82,0
6,356,"fev1~snp+time+time*snp+age_baseline+age_c2_baseline","time","snp:time","snp_null",-10947.8038533668,-2.5e-05,0.44,10,-8976.2638,82,0
