"iteration","modelnum","model","random_slope","formula","snp","aic_qic","converged","interaction","beta","p"
1,1,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+time*snp","snp_rd",26167.7344431691,1,"snp:time","-0.017 (-0.022 - -0.012)",3.1e-10
1,2,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+time*snp","snp_rd",26148.6542053542,1,"snp:time","-0.015 (-0.02 - -0.0096)",3.9e-08
1,3,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+age*snp","snp_rd",25893.3113517965,1,"snp:age","-0.0092 (-0.01 - -0.0083)",2.7e-71
1,4,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp","snp_rd",25707.9473572351,0,"snp:age","-0.0092 (-0.01 - -0.0085)",3.6e-111
1,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_rd",25719.8665699278,0,"snp:age","-0.0092 (-0.01 - -0.0084)",1.4e-102
1,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_rd",25719.8665699278,0,"snp:time","1e-04 (-0.0054 - 0.0056)",0.97
1,6,"LMM random intercept + slope","time","fev1~snp+time+time*snp+age_baseline+age_c2_baseline","snp_rd",26548.5625071118,1,"snp:time","-0.017 (-0.023 - -0.012)",2.3e-10
1,1,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+time*snp","snp_lb",27250.2248728848,0,"snp:time","-0.0047 (-0.01 - 0.00061)",0.083
1,2,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+time*snp","snp_lb",27057.1256897987,1,"snp:time","-0.0028 (-0.0082 - 0.0025)",0.3
1,3,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+age*snp","snp_lb",27045.8604647818,1,"snp:age","-0.0028 (-0.004 - -0.0017)",8.3e-07
1,4,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp","snp_lb",27221.7563506625,0,"snp:age","-0.0029 (-0.0038 - -0.0019)",3.5e-09
1,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_lb",27233.5635022865,0,"snp:age","-0.0029 (-0.0039 - -0.0019)",1.6e-08
1,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_lb",27233.5635022865,0,"snp:time","0.00072 (-0.0049 - 0.0063)",0.8
1,6,"LMM random intercept + slope","time","fev1~snp+time+time*snp+age_baseline+age_c2_baseline","snp_lb",27577.4507809316,1,"snp:time","-0.0045 (-0.0099 - 0.00086)",0.1
2,1,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+time*snp","snp_rd",25926.5295626365,1,"snp:time","-0.016 (-0.021 - -0.011)",1.6e-09
2,2,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+time*snp","snp_rd",26001.2016223885,1,"snp:time","-0.011 (-0.016 - -0.0055)",5.7e-05
2,3,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+age*snp","snp_rd",25673.9916125501,1,"snp:age","-0.0096 (-0.011 - -0.0086)",1.3e-70
2,4,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp","snp_rd",25456.2409898912,1,"snp:age","-0.0096 (-0.01 - -0.0088)",5.2e-113
2,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_rd",25467.8422152905,1,"snp:age","-0.0096 (-0.01 - -0.0088)",6.1e-105
2,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_rd",25467.8422152905,1,"snp:time","0.0016 (-0.0039 - 0.007)",0.57
2,6,"LMM random intercept + slope","time","fev1~snp+time+time*snp+age_baseline+age_c2_baseline","snp_rd",26286.6628545826,1,"snp:time","-0.016 (-0.021 - -0.01)",8.1e-09
2,1,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+time*snp","snp_lb",26688.4942775349,1,"snp:time","-2.7e-05 (-0.0053 - 0.0052)",0.99
2,2,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+time*snp","snp_lb",26558.5573789202,1,"snp:time","0.0023 (-0.003 - 0.0075)",0.4
2,3,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+age*snp","snp_lb",26538.3945013729,1,"snp:age","-0.0035 (-0.0046 - -0.0023)",4.3e-09
2,4,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp","snp_lb",26646.2929925054,1,"snp:age","-0.0033 (-0.0042 - -0.0023)",1.4e-11
2,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_lb",26652.3849722142,1,"snp:age","-0.0037 (-0.0047 - -0.0027)",7.6e-13
2,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_lb",26652.3849722142,1,"snp:time","0.0069 (0.0013 - 0.012)",0.016
2,6,"LMM random intercept + slope","time","fev1~snp+time+time*snp+age_baseline+age_c2_baseline","snp_lb",27006.3099427925,1,"snp:time","-0.00028 (-0.0057 - 0.0051)",0.92
3,1,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+time*snp","snp_rd",26026.5205430558,1,"snp:time","-0.015 (-0.02 - -0.0099)",1.8e-08
3,2,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+time*snp","snp_rd",26071.1840980976,1,"snp:time","-0.0093 (-0.015 - -0.004)",0.00057
3,3,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+age*snp","snp_rd",25660.1125335619,1,"snp:age","-0.01 (-0.011 - -0.0094)",9e-86
3,4,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp","snp_rd",25470.8496014127,1,"snp:age","-0.01 (-0.011 - -0.0094)",5.9e-131
3,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_rd",25480.9698995977,1,"snp:age","-0.01 (-0.011 - -0.0095)",6e-124
3,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_rd",25480.9698995977,1,"snp:time","0.0037 (-0.0017 - 0.0092)",0.18
3,6,"LMM random intercept + slope","time","fev1~snp+time+time*snp+age_baseline+age_c2_baseline","snp_rd",26301.9456142606,0,"snp:time","-0.015 (-0.021 - -0.01)",2.1e-08
3,1,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+time*snp","snp_lb",26717.3621227387,1,"snp:time","-0.0034 (-0.0087 - 0.0019)",0.21
3,2,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+time*snp","snp_lb",26528.2320076547,1,"snp:time","-0.00088 (-0.0062 - 0.0044)",0.75
3,3,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+age*snp","snp_lb",26491.2805860392,1,"snp:age","-0.0037 (-0.0048 - -0.0025)",2.8e-10
3,4,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp","snp_lb",26665.704818821,1,"snp:age","-0.0036 (-0.0045 - -0.0027)",4.6e-14
3,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_lb",26676.0247264326,1,"snp:age","-0.0038 (-0.0048 - -0.0028)",4.9e-14
3,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_lb",26676.0247264326,1,"snp:time","0.0036 (-0.002 - 0.0091)",0.21
3,6,"LMM random intercept + slope","time","fev1~snp+time+time*snp+age_baseline+age_c2_baseline","snp_lb",26938.2519838635,1,"snp:time","-0.0038 (-0.0092 - 0.0016)",0.17
4,1,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+time*snp","snp_rd",25724.7159199337,1,"snp:time","-0.016 (-0.021 - -0.011)",4.6e-09
4,2,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+time*snp","snp_rd",25681.7481430649,1,"snp:time","-0.014 (-0.019 - -0.0083)",4.7e-07
4,3,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+age*snp","snp_rd",25379.5536891,1,"snp:age","-0.01 (-0.011 - -0.009)",2e-72
4,4,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp","snp_rd",25238.4948127386,1,"snp:age","-0.01 (-0.011 - -0.0094)",2e-116
4,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_rd",25248.9469802482,1,"snp:age","-0.01 (-0.011 - -0.0095)",8.5e-109
4,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_rd",25248.9469802482,1,"snp:time","0.0034 (-0.0022 - 0.009)",0.23
4,6,"LMM random intercept + slope","time","fev1~snp+time+time*snp+age_baseline+age_c2_baseline","snp_rd",26081.1718364807,1,"snp:time","-0.015 (-0.02 - -0.0095)",9e-08
4,1,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+time*snp","snp_lb",26686.7058160124,1,"snp:time","-0.007 (-0.012 - -0.0016)",0.011
4,2,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+time*snp","snp_lb",26592.6879064914,1,"snp:time","-0.0055 (-0.011 - -0.00018)",0.043
4,3,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+age*snp","snp_lb",26568.0805484614,1,"snp:age","-0.0032 (-0.0044 - -0.002)",1.8e-07
4,4,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp","snp_lb",26662.3773700098,1,"snp:age","-0.0031 (-0.0041 - -0.0021)",5e-09
4,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_lb",26673.9709118422,1,"snp:age","-0.003 (-0.0041 - -0.0019)",1.3e-07
4,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_lb",26673.9709118422,1,"snp:time","-0.0014 (-0.0071 - 0.0043)",0.63
4,6,"LMM random intercept + slope","time","fev1~snp+time+time*snp+age_baseline+age_c2_baseline","snp_lb",26979.6311471009,1,"snp:time","-0.0065 (-0.012 - -0.001)",0.021
5,1,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+time*snp","snp_rd",26313.3484564599,1,"snp:time","-0.019 (-0.024 - -0.013)",1.1e-11
5,2,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+time*snp","snp_rd",26348.7126306679,1,"snp:time","-0.013 (-0.018 - -0.0075)",2.1e-06
5,3,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+age*snp","snp_rd",25725.5271272124,1,"snp:age","-0.0098 (-0.011 - -0.0091)",2.4e-123
5,4,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp","snp_rd",25705.8745597404,1,"snp:age","-0.0098 (-0.011 - -0.0091)",7.1e-145
5,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_rd",25717.5938519093,1,"snp:age","-0.0098 (-0.011 - -0.0091)",3.5e-135
5,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_rd",25717.5938519093,1,"snp:time","-0.0012 (-0.0067 - 0.0043)",0.67
5,6,"LMM random intercept + slope","time","fev1~snp+time+time*snp+age_baseline+age_c2_baseline","snp_rd",26645.8702788957,1,"snp:time","-0.019 (-0.024 - -0.013)",3.9e-11
5,1,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+time*snp","snp_lb",27169.3870236298,1,"snp:time","-0.0088 (-0.014 - -0.0034)",0.0015
5,2,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+time*snp","snp_lb",27002.7167731837,1,"snp:time","-0.0063 (-0.012 - -0.001)",0.02
